FileName	Slide	Batch	Cy3	Cy5
US84700254_252800519537_S01_GE2_1100_Jul11_1_1.txt	1	1	ppifSC7	ppifC7plus6
US84700254_252800519537_S01_GE2_1100_Jul11_1_2.txt	1	1	ppifC7plus6	C7
US84700254_252800519537_S01_GE2_1100_Jul11_1_4.txt	1	1	ppifControl	ppifC7
US84700254_252800519537_S01_GE2_1100_Jul11_2_1.txt	1	1	SC7	ppifControl
US84700254_252800519537_S01_GE2_1100_Jul11_2_2.txt	1	1	C7	abandoned
US84700254_252800519537_S01_GE2_1100_Jul11_2_3.txt	1	1	abandoned	SC4plus9
US84700254_252800519537_S01_GE2_1100_Jul11_2_4.txt	1	1	ppifSC7plus6	C7
US84700254_252800519538_S01_GE2_1100_Jul11_1_1.txt	2	1	ppifSC7	C4plus9
US84700254_252800519538_S01_GE2_1100_Jul11_1_2.txt	2	1	ppifSC7plus6	ppifSC7plus6
US84700254_252800519538_S01_GE2_1100_Jul11_1_3.txt	2	1	C7	SC7
US84700254_252800519538_S01_GE2_1100_Jul11_1_4.txt	2	1	SC7	ppifSC7
US84700254_252800519538_S01_GE2_1100_Jul11_2_1.txt	2	1	C7	ppifC7
US84700254_252800519538_S01_GE2_1100_Jul11_2_2.txt	2	1	C4plus9	C4plus9
US84700254_252800519538_S01_GE2_1100_Jul11_2_3.txt	2	1	SC7	SC7
US84700254_252800519538_S01_GE2_1100_Jul11_2_4.txt	2	1	ppifSC7	ppifSC7
US84700254_252800519494_S01_GE2_1100_Jul11_1_1.txt	3	1	SC4plus9	SC7
US84700254_252800519494_S01_GE2_1100_Jul11_1_2.txt	3	1	ppifC7	Control
US84700254_252800519494_S01_GE2_1100_Jul11_1_3.txt	3	1	abandoned	C7
US84700254_252800519494_S01_GE2_1100_Jul11_1_4.txt	3	1	ppifC7plus6	abandoned
US84700254_252800519494_S01_GE2_1100_Jul11_2_1.txt	3	1	ppifControl	Control
US84700254_252800519494_S01_GE2_1100_Jul11_2_2.txt	3	1	Control	ppifC7plus6
US84700254_252800519494_S01_GE2_1100_Jul11_2_3.txt	3	1	Control	ppifControl
